account_id,user_id,logins_month_1,logins_month_2,logins_month_3,logins_month_4,logins_month_5,logins_month_6,logins_month_7,logins_month_8,logins_month_9,logins_month_10,logins_month_11,logins_month_12,churn_score
0,0,0,2,22,25,15,6,41,13,34,4,23,42,0
0,1,43,7,38,26,20,31,16,20,31,56,20,6,26
0,2,32,13,19,0,34,28,39,12,18,5,0,3,51
0,3,25,0,62,0,47,0,26,0,35,10,24,15,18
0,4,27,4,0,0,16,5,0,25,0,0,14,0,79
0,5,0,16,19,16,31,16,30,0,51,20,23,0,3
0,6,8,33,0,10,0,27,39,19,17,0,1,0,62
0,7,42,0,66,3,23,48,45,55,0,0,20,32,0
0,8,0,15,3,0,39,14,18,33,15,24,31,26,0
0,9,0,67,6,25,28,0,52,20,11,18,30,15,0
0,10,0,40,56,0,0,20,3,20,14,0,41,24,0
1,11,22,19,17,15,13,11,10,9,8,7,6,5,57
1,12,5,0,19,22,26,29,25,25,4,1,30,20,0
1,13,49,31,50,7,20,31,0,45,0,35,29,0,37
1,14,21,16,12,9,7,5,4,3,2,2,2,2,75
1,15,39,0,0,25,15,36,25,47,34,29,8,6,36
1,16,48,14,17,0,0,0,16,65,0,75,43,6,33
1,17,27,26,25,24,23,22,21,20,19,18,17,16,15
1,18,39,22,13,22,7,0,31,0,10,6,28,46,0
2,19,17,16,15,14,13,12,11,10,9,8,7,6,51
2,20,18,15,12,10,8,7,6,5,4,3,2,2,72
2,21,22,18,15,12,10,8,7,6,5,4,3,2,70
2,22,0,0,0,43,0,28,25,41,11,0,0,0,19
2,23,6,17,11,21,0,21,1,33,2,2,24,15,0
2,24,37,19,0,18,0,0,0,0,4,38,60,4,55
2,25,21,38,36,0,64,54,4,0,8,20,4,11,18
2,26,25,9,43,18,10,35,0,22,16,0,0,35,0
2,27,18,35,32,27,15,16,0,0,20,1,29,24,0
2,28,22,20,18,16,14,13,12,11,10,9,8,7,49
2,29,20,30,35,5,8,13,5,35,2,40,8,24,0
2,30,8,20,21,16,0,13,61,0,32,36,0,6,16
2,31,0,11,21,27,34,26,42,18,0,15,14,0,6
2,32,0,0,0,32,13,61,39,20,43,5,0,0,5
2,33,10,39,20,24,26,18,25,13,14,0,21,0,51
2,34,21,18,16,14,12,10,9,8,7,6,5,4,61
2,35,22,0,0,8,0,0,30,47,0,13,9,2,66
3,36,19,54,29,41,31,34,16,15,20,30,9,17,0
3,37,17,4,0,9,22,3,11,12,42,8,42,0,61
3,38,0,43,0,70,17,35,0,0,42,21,56,25,0
3,39,0,30,11,35,20,15,28,12,15,4,0,26,0
3,40,10,2,50,18,15,12,31,6,28,47,24,10,0
3,41,19,15,12,10,8,6,5,4,3,2,2,2,74
3,42,23,18,14,11,9,7,5,4,3,2,2,2,72
3,43,20,34,13,16,38,8,27,5,7,13,25,39,0
3,44,65,24,0,19,0,78,60,2,0,0,11,0,45
3,45,23,19,16,13,11,9,8,7,6,5,4,3,65
3,46,0,0,16,2,33,16,52,31,37,18,18,50,0
3,47,2,6,6,0,21,2,19,12,14,26,4,28,0
3,48,0,32,28,0,9,0,7,2,14,8,8,37,0
3,49,24,21,19,17,15,13,11,10,9,8,7,6,52
3,50,22,18,15,12,10,8,7,6,5,4,3,2,70
3,51,1,14,55,0,0,43,38,6,13,0,17,38,0
3,52,32,5,1,30,24,20,8,46,0,0,34,32,1
3,53,23,29,0,66,0,18,12,0,8,15,2,34,0
3,54,48,45,22,0,4,6,0,38,0,54,54,7,33
4,55,39,30,34,32,9,16,0,13,39,2,35,17,22
4,56,18,16,14,13,12,11,10,9,8,7,6,5,57
4,57,33,26,17,10,19,33,45,45,22,12,18,25,0
4,58,8,63,28,55,42,24,3,15,11,0,28,46,0
4,59,62,7,8,0,26,23,4,13,0,39,5,77,0
4,60,13,11,9,7,6,5,4,3,2,2,2,2,75
4,61,25,7,38,10,43,30,16,47,34,74,7,17,0
4,62,45,48,27,38,0,0,40,12,30,1,48,0,38
4,63,20,0,1,12,0,12,47,0,51,33,20,1,54
4,64,36,9,15,13,0,46,0,0,12,35,3,0,63
4,65,12,0,27,17,0,0,43,0,25,0,29,34,0
4,66,18,37,5,16,0,28,19,0,0,47,54,11,19
4,67,12,11,10,9,8,7,6,5,4,4,4,4,63
4,68,24,0,0,25,27,0,6,3,13,14,28,5,57
4,69,7,21,27,18,25,35,0,34,22,0,31,7,2
5,70,8,19,3,8,39,29,13,30,31,7,0,0,55
5,71,37,0,38,56,32,0,36,60,9,14,0,21,7
5,72,15,47,27,16,17,0,12,0,35,0,32,35,0
5,73,10,40,18,23,0,5,0,13,23,0,56,21,0
5,74,64,35,20,5,21,14,17,41,4,25,34,2,38
5,75,19,17,15,13,12,11,10,9,8,7,6,5,57
5,76,18,16,15,14,13,12,11,10,9,8,7,6,52
5,77,20,60,42,23,0,25,30,10,21,45,0,0,40
5,78,24,33,27,29,10,0,6,3,13,37,0,18,20
5,79,1,2,0,30,4,18,6,1,48,33,0,0,45
5,80,23,39,29,10,0,32,38,49,0,0,38,0,44
5,81,25,34,19,3,28,0,0,30,0,11,12,4,55
6,82,15,17,32,0,41,29,8,0,40,9,15,23,0
6,83,0,31,2,20,31,1,21,35,0,15,1,0,17
6,84,0,1,41,16,19,13,22,43,0,39,0,16,0
6,85,45,37,50,20,8,6,4,35,29,17,1,68,0
6,86,0,21,21,13,25,35,14,0,0,16,20,0,15
6,87,8,28,16,10,0,0,0,21,13,0,28,42,0
6,88,0,10,0,4,34,45,0,28,0,1,25,0,19
6,89,33,28,49,0,23,0,0,14,23,13,4,7,47
6,90,23,42,0,27,0,36,23,37,13,6,31,0,48
6,91,1,6,30,0,24,39,9,36,21,0,11,7,0
6,92,31,1,15,41,0,0,22,10,35,12,3,13,40
6,93,24,22,20,18,16,15,14,13,12,11,10,9,41
6,94,0,19,20,15,3,39,40,0,0,12,34,16,0
6,95,0,0,34,14,0,8,0,14,32,14,62,23,0
6,96,16,14,12,10,9,8,7,6,5,4,3,3,68
6,97,0,34,5,0,19,25,9,15,30,8,21,0,15
6,98,22,47,37,0,21,0,4,21,3,20,15,26,0
7,99,15,11,8,6,5,4,3,2,2,2,2,2,77
7,100,28,44,18,0,11,35,19,0,27,30,8,27,0
7,101,22,20,18,16,14,12,11,10,9,8,7,6,52
7,102,30,27,46,34,29,0,39,17,21,21,30,37,0
7,103,13,39,0,15,46,0,1,28,23,0,7,0,60
7,104,16,37,4,21,30,0,15,2,47,46,0,23,0
7,105,26,5,0,22,22,3,2,0,30,33,0,4,60
7,106,0,15,32,33,22,16,25,0,49,48,24,19,0
7,107,3,0,0,0,29,13,33,44,17,18,6,8,0
8,108,14,31,0,0,0,0,5,29,18,12,18,5,52
8,109,0,0,12,17,31,0,0,18,10,34,25,26,0
8,110,23,15,24,1,4,0,21,12,0,12,24,53,0
8,111,5,0,44,19,58,34,26,6,0,11,0,28,0
8,112,19,17,15,14,13,12,11,10,9,8,7,6,53
8,113,34,1,9,0,0,14,18,36,31,31,0,24,23
8,114,17,28,22,47,0,17,0,0,40,6,0,0,60
8,115,12,0,4,5,10,0,0,34,36,0,0,36,0
8,116,23,0,31,10,16,0,6,17,42,0,4,34,0
8,117,22,4,0,14,0,38,0,22,3,21,5,0,70
8,118,0,0,21,30,0,0,18,17,0,18,3,48,0
9,119,0,27,0,55,47,25,24,23,5,21,0,25,0
9,120,11,3,8,24,3,11,5,44,22,19,29,3,45
9,121,21,19,17,15,13,12,11,10,9,8,7,6,53
9,122,0,0,4,0,10,0,13,43,14,9,23,1,0
9,123,26,33,35,56,26,60,0,57,7,9,13,11,8
9,124,11,10,9,8,7,6,5,4,4,4,4,4,63
9,125,28,46,8,31,26,60,5,31,0,5,22,43,0
9,126,0,1,49,13,5,16,5,20,13,33,7,0,16
9,127,27,23,19,16,13,11,9,8,7,6,5,4,60
9,128,0,23,30,2,11,0,33,11,31,19,11,0,14
9,129,61,5,0,0,65,1,38,17,5,31,0,0,52
9,130,5,13,32,3,32,3,36,17,6,16,9,17,0
9,131,45,1,22,30,32,0,36,0,31,26,31,0,45
9,132,2,20,38,59,11,32,38,0,51,0,31,21,0
10,133,0,15,24,0,19,49,26,33,0,46,11,0,3
10,134,4,27,42,12,12,2,9,37,17,0,20,36,0
10,135,0,0,45,24,13,8,43,77,24,0,12,24,0
10,136,40,5,0,19,17,39,20,38,0,18,0,17,33
10,137,11,9,7,5,4,3,2,2,2,2,2,2,76
10,138,14,0,16,14,0,0,0,0,15,18,19,0,76
10,139,33,25,19,14,11,8,6,5,4,3,2,2,68
11,140,23,19,16,13,11,9,7,6,5,4,3,2,69
11,141,26,32,16,0,0,30,18,40,21,0,5,26,5
11,142,0,36,36,2,49,9,17,13,25,20,20,0,2
11,143,3,0,1,17,8,54,15,28,19,8,0,13,0
11,144,68,34,57,0,11,28,26,21,0,0,45,49,0
11,145,18,15,0,34,0,0,33,31,17,37,44,41,0
11,146,39,0,44,18,39,0,19,18,3,21,46,1,45
11,147,24,0,37,53,1,22,6,28,0,14,35,40,0
11,148,9,36,0,6,38,21,0,20,45,5,27,0,51
11,149,41,11,56,31,0,51,0,0,25,0,1,46,0
11,150,15,13,12,11,10,9,8,7,6,5,4,4,62
12,151,29,34,33,19,0,64,25,12,12,18,36,19,3
12,152,0,0,19,24,30,17,24,33,7,3,12,19,0
12,153,23,0,60,7,0,14,14,37,21,0,9,22,8
12,154,47,3,34,8,32,41,28,30,13,6,18,8,34
12,155,0,18,17,9,25,27,0,17,0,31,19,17,0
12,156,16,15,14,13,12,11,10,9,8,7,6,5,56
12,157,33,0,43,4,0,8,6,8,20,37,11,1,61
12,158,10,0,0,0,0,30,34,53,53,31,36,18,0
12,159,40,19,0,31,6,7,21,26,18,28,1,14,37
12,160,18,16,19,0,41,42,44,22,28,0,32,20,0
12,161,0,0,15,23,37,25,12,23,21,50,18,7,0
12,162,15,30,0,1,1,40,28,19,21,46,12,0,52
12,163,14,37,21,29,0,27,0,21,14,61,26,13,0
12,164,11,0,0,41,0,47,36,9,0,36,10,0,56
12,165,21,36,24,26,33,0,5,24,43,16,0,0,50
13,166,85,0,60,9,13,2,31,0,0,47,0,30,24
13,167,24,0,8,0,25,49,0,0,11,18,33,12,36
13,168,43,4,0,19,0,0,6,17,0,43,29,8,54
13,169,2,39,16,41,3,14,22,11,34,0,63,32,0
13,170,27,22,18,15,12,10,8,6,5,4,3,2,67
13,171,35,12,37,0,0,51,27,43,0,0,8,0,54
13,172,0,6,20,46,8,0,45,5,0,18,9,61,0
13,173,18,25,18,0,29,34,0,11,10,19,11,14,21
13,174,18,15,12,10,8,7,6,5,4,3,2,2,72
13,175,30,38,48,0,11,0,0,18,7,21,25,40,0
13,176,18,0,53,15,61,54,0,2,0,14,19,20,0
13,177,0,35,15,42,11,6,16,17,2,5,0,6,0
13,178,13,29,20,34,0,0,10,3,5,19,5,0,67
13,179,29,32,20,8,24,42,14,10,23,16,0,20,15
13,180,17,0,18,1,49,17,31,57,0,24,0,22,0
14,181,13,1,7,52,17,0,42,34,35,0,54,4,28
14,182,0,18,12,0,0,25,27,41,5,12,0,46,0
14,183,29,16,29,0,43,29,28,0,49,15,30,9,25
14,184,22,19,16,14,12,10,9,8,7,6,5,4,61
14,185,0,27,54,26,0,28,36,25,14,10,10,29,0
14,186,24,0,0,40,30,8,12,0,33,1,22,0,62
14,187,7,44,27,3,32,7,35,10,36,24,80,14,0
14,188,18,17,16,15,14,13,12,11,10,9,8,7,47
14,189,24,42,23,0,0,0,35,0,14,12,45,17,19
14,190,32,34,11,40,13,31,0,22,10,18,17,18,19
14,191,26,27,0,44,0,0,28,9,21,0,21,19,22
14,192,0,0,0,0,0,45,0,7,27,23,44,18,0
15,193,0,26,46,3,37,52,10,8,0,5,0,0,11
15,194,24,46,14,19,26,22,0,49,0,28,26,0,45
15,195,14,54,13,29,15,23,21,7,37,29,36,21,0
15,196,34,11,30,0,22,27,36,31,36,13,8,10,30
15,197,36,77,8,39,8,15,50,0,0,13,28,24,4
15,198,14,22,21,15,14,4,18,9,46,31,0,0,56
15,199,23,19,16,13,11,9,8,7,6,5,4,3,65
15,200,21,21,44,0,17,3,44,0,0,21,38,30,0
15,201,23,18,14,11,9,7,6,5,4,3,2,2,72
16,202,0,41,0,8,28,0,44,8,18,38,0,36,0
16,203,0,45,0,22,36,21,23,28,23,47,0,20,0
16,204,26,14,46,0,59,26,0,30,41,17,0,9,25
16,205,27,26,22,14,28,29,2,24,11,0,4,0,59
16,206,24,37,22,24,0,9,50,17,53,1,20,7,28
16,207,64,0,0,0,9,37,0,37,16,0,0,0,65
16,208,19,3,33,38,20,0,36,19,0,0,45,42,0
16,209,9,0,13,37,15,29,34,8,5,18,19,16,0
17,210,28,24,21,18,16,14,12,10,9,8,7,6,51
17,211,0,7,17,4,28,14,18,7,0,0,27,20,0
17,212,39,21,2,19,7,20,48,30,19,30,31,0,43
17,213,24,15,0,45,20,19,10,9,29,0,48,43,0
17,214,6,22,0,0,48,0,9,28,44,20,0,9,0
17,215,13,0,22,15,26,0,6,37,0,0,19,21,0
17,216,24,22,20,19,18,17,16,15,14,13,12,11,34
17,217,28,24,20,17,14,12,10,8,7,6,5,4,59
17,218,17,13,21,14,46,0,0,0,4,0,19,15,24
17,219,18,0,15,8,57,7,52,27,0,22,9,20,0
17,220,24,0,16,42,17,50,10,35,0,34,20,11,22
17,221,32,11,43,52,0,34,1,31,40,0,0,32,0
18,222,65,60,45,26,42,48,12,4,0,0,0,20,17
18,223,18,26,30,35,42,27,53,17,12,27,11,52,0
18,224,0,28,7,56,6,21,0,31,0,29,6,0,11
18,225,19,25,0,24,17,2,0,27,38,19,0,0,61
18,226,0,12,3,0,0,0,39,49,0,26,32,0,16
18,227,0,17,10,28,54,5,0,27,43,9,1,6,0
18,228,15,20,0,11,5,2,0,34,2,0,20,30,0
18,229,4,0,11,45,7,27,30,24,40,1,0,0,50
18,230,28,23,19,16,13,11,9,7,6,5,4,3,63
18,231,35,21,7,23,0,14,21,18,23,2,38,51,0
18,232,7,12,0,19,16,37,0,48,28,17,11,9,0
18,233,0,10,0,24,19,20,33,45,8,25,21,23,0
19,234,0,23,42,8,4,7,0,18,16,19,23,0,16
19,235,10,18,18,19,0,19,6,36,18,32,9,10,9
19,236,30,29,0,2,12,0,28,18,0,0,39,46,0
19,237,1,0,46,16,17,11,0,29,23,18,13,9,0
19,238,47,8,62,54,0,1,24,0,6,4,52,18,22
19,239,16,13,10,8,6,5,4,3,2,2,2,2,75
19,240,14,2,0,0,5,10,11,13,5,42,34,12,25
20,241,7,10,15,47,0,7,0,22,12,19,18,35,0
20,242,35,37,0,0,24,8,10,41,9,0,0,59,0
20,243,0,0,0,3,13,0,19,0,43,10,34,37,0
20,244,6,0,14,14,0,0,0,0,7,0,1,36,0
20,245,0,43,13,15,16,1,46,23,16,0,0,9,0
20,246,0,0,0,32,0,0,32,22,31,33,54,12,0
20,247,2,2,26,10,49,22,0,0,13,13,21,39,0
20,248,3,30,0,0,32,22,6,22,0,17,18,8,0
20,249,20,0,40,1,60,17,0,0,46,37,60,15,0
20,250,12,10,8,7,6,5,4,3,2,2,2,2,75
21,251,21,17,14,11,9,7,6,5,4,3,2,2,72
21,252,11,0,0,14,39,28,24,41,1,15,5,10,15
21,253,29,14,38,0,0,30,0,27,22,1,22,0,60
21,254,39,25,14,40,29,37,14,51,38,25,40,7,15
21,255,29,0,23,21,18,12,0,32,22,37,0,25,11
21,256,0,7,4,14,28,21,19,10,14,31,0,15,0
21,257,0,33,28,8,0,19,17,33,6,39,4,0,11
21,258,0,11,0,7,0,10,38,14,48,31,42,0,8
21,259,19,0,31,3,17,12,37,30,13,0,2,29,0
22,260,40,69,0,0,33,0,35,24,15,24,23,11,28
